iter	Passed	Remaining
0	66	19858
1	128	19209
2	194	19295
3	258	19101
4	324	19173
5	381	18707
6	438	18367
7	493	18022
8	551	17831
9	607	17614
10	665	17475
11	718	17245
12	783	17292
13	841	17199
14	904	17188
15	966	17157
16	1034	17221
17	1095	17165
18	1161	17173
19	1225	17156
20	1291	17157
21	1356	17146
22	1418	17082
23	1483	17054
24	1553	17091
25	1614	17010
26	1678	16969
27	1745	16956
28	1810	16919
29	1876	16890
30	1940	16840
31	2003	16778
32	2070	16748
33	2136	16716
34	2205	16698
35	2271	16654
36	2335	16600
37	2399	16542
38	2462	16479
39	2519	16375
40	2577	16279
41	2634	16180
42	2691	16086
43	2748	15993
44	2807	15911
45	2863	15810
46	2934	15795
47	3004	15773
48	3069	15721
49	3133	15667
50	3198	15616
51	3266	15578
52	3329	15518
53	3396	15473
54	3461	15418
55	3529	15379
56	3597	15334
57	3662	15283
58	3723	15210
59	3786	15146
60	3852	15092
61	3921	15053
62	4005	15066
63	4084	15062
64	4167	15066
65	4246	15055
66	4317	15013
67	4385	14963
68	4449	14896
69	4516	14840
70	4589	14803
71	4673	14798
72	4747	14762
73	4824	14734
74	4884	14652
75	4944	14572
76	5002	14488
77	5060	14402
78	5116	14312
79	5186	14263
80	5253	14205
81	5316	14134
82	5383	14073
83	5447	14008
84	5536	14004
85	5622	13990
86	5687	13923
87	5766	13892
88	5860	13893
89	5925	13826
90	5996	13772
91	6087	13763
92	6153	13695
93	6220	13632
94	6290	13574
95	6413	13627
96	6521	13648
97	6601	13607
98	6685	13574
99	6773	13547
100	6870	13537
101	6944	13480
102	7008	13405
103	7075	13334
104	7151	13280
105	7236	13244
106	7331	13224
107	7398	13152
108	7457	13067
109	7516	12983
110	7574	12896
111	7643	12830
112	7712	12763
113	7777	12689
114	7835	12604
115	7893	12520
116	7948	12432
117	8040	12401
118	8239	12532
119	8307	12461
120	8366	12376
121	8426	12293
122	8493	12222
123	8555	12143
124	8614	12059
125	8682	11989
126	8747	11916
127	8806	11834
128	8872	11761
129	8988	11754
130	9176	11838
131	9320	11862
132	9383	11782
133	9439	11693
134	9508	11621
135	9588	11562
136	9661	11495
137	9745	11440
138	9816	11369
139	9882	11294
140	9938	11207
141	10011	11139
142	10081	11068
143	10144	10989
144	10201	10905
145	10271	10834
146	10334	10756
147	10397	10678
148	10452	10592
149	10509	10509
150	10563	10423
151	10619	10339
152	10676	10257
153	10730	10173
154	10785	10089
155	10842	10008
156	10899	9927
157	10955	9846
158	11011	9765
159	11070	9686
160	11129	9608
161	11185	9528
162	11242	9449
163	11300	9371
164	11355	9290
165	11411	9211
166	11467	9133
167	11522	9053
168	11580	8976
169	11637	8899
170	11694	8822
171	11752	8746
172	11810	8669
173	11869	8594
174	11925	8518
175	11984	8443
176	12041	8367
177	12097	8291
178	12155	8216
179	12212	8141
180	12268	8066
181	12324	7990
182	12381	7916
183	12438	7841
184	12493	7766
185	12549	7691
186	12605	7617
187	12667	7546
188	12722	7471
189	12780	7399
190	12835	7325
191	12892	7252
192	12950	7179
193	13014	7111
194	13071	7038
195	13136	6970
196	13206	6904
197	13273	6837
198	13341	6771
199	13404	6702
200	13461	6630
201	13520	6559
202	13576	6487
203	13634	6416
204	13694	6346
205	13752	6275
206	13809	6204
207	13866	6133
208	13921	6061
209	13978	5990
210	14036	5920
211	14092	5849
212	14150	5779
213	14209	5710
214	14265	5639
215	14322	5569
216	14377	5499
217	14432	5428
218	14487	5358
219	14542	5288
220	14600	5219
221	14656	5149
222	14713	5080
223	14770	5011
224	14830	4943
225	14887	4874
226	14946	4806
227	15006	4738
228	15066	4671
229	15124	4603
230	15183	4535
231	15246	4468
232	15304	4400
233	15359	4332
234	15416	4264
235	15472	4195
236	15528	4127
237	15587	4060
238	15649	3994
239	15707	3926
240	15763	3859
241	15819	3791
242	15876	3724
243	15936	3657
244	15998	3591
245	16058	3525
246	16118	3458
247	16176	3391
248	16232	3324
249	16288	3257
250	16343	3190
251	16399	3123
252	16456	3057
253	16512	2990
254	16568	2923
255	16626	2857
256	16684	2791
257	16740	2725
258	16797	2659
259	16853	2592
260	16910	2526
261	16966	2460
262	17026	2395
263	17083	2329
264	17142	2264
265	17200	2198
266	17256	2132
267	17312	2067
268	17370	2001
269	17429	1936
270	17486	1871
271	17543	1805
272	17600	1740
273	17657	1675
274	17714	1610
275	17770	1545
276	17826	1480
277	17883	1415
278	17939	1350
279	17993	1285
280	18054	1220
281	18111	1156
282	18167	1091
283	18223	1026
284	18279	962
285	18336	897
286	18393	833
287	18449	768
288	18516	704
289	18576	640
290	18631	576
291	18689	512
292	18746	447
293	18803	383
294	18860	319
295	18917	255
296	18974	191
297	19032	127
298	19089	63
299	19146	0
